aa	117000000.000000
ab	337000000.000000
ability	220000000.000000
about-face	504000000.000000
above	637000000.000000
abroad	105000000.000000
absolute	139000000.000000
abuse	116000000.000000
academic	156000000.000000
academy	130000000.000000
acceptance	143000000.000000
access	1090000000.000000
accessoria	505000000.000000
accessorius	572000000.000000
accommodation	186000000.000000
account	1730000000.000000
accounting	137000000.000000
accuracy	131000000.000000
ace	102000000.000000
acrobat	118000000.000000
act	345000000.000000
acting	118000000.000000
actinon	1690000000.000000
action	795000000.000000
active	404000000.000000
activity	285000000.000000
actress	270000000.000000
acts	153000000.000000
ad	365000000.000000
add-in	1030000000.000000
add-on	969000000.000000
addition	384000000.000000
address	1100000000.000000
adience	106000000.000000
administration	284000000.000000
administrator	170000000.000000
adobe	150000000.000000
advance	205000000.000000
advantage	240000000.000000
adventure	200000000.000000
advertising	362000000.000000
advertizing	403000000.000000
advice	439000000.000000
affairs	131000000.000000
affiliate	259000000.000000
africa	299000000.000000
after	1480000000.000000
aftereffect	231000000.000000
age	677000000.000000
agency	295000000.000000
agenda	130000000.000000
agent	224000000.000000
agreement	223000000.000000
ai	253000000.000000
aid	195000000.000000
aim	189000000.000000
air	689000000.000000
airforce	352000000.000000
airport	212000000.000000
airpost	180000000.000000
album	561000000.000000
all	3715032704.000000
alle	707000000.000000
aller	161000000.000000
alliance	112000000.000000
alpha	108000000.000000
alternative	323000000.000000
amazon	318000000.000000
amber	122000000.000000
amberfish	115000000.000000
america	633000000.000000
amount	1070000000.000000
analysis	254000000.000000
ancient	124000000.000000
andrew	132000000.000000
angel	292000000.000000
animal	264000000.000000
animation	212000000.000000
anime	621000000.000000
anna	376000000.000000
anniversary	116000000.000000
annual	268000000.000000
answer	335000000.000000
anther	1710000000.000000
anti	398000000.000000
anti-American	419000000.000000
apache	102000000.000000
apart	119000000.000000
apartment	165000000.000000
apparel	145000000.000000
appeal	114000000.000000
appearance	108000000.000000
apple	191000000.000000
application	886000000.000000
approach	199000000.000000
approval	110000000.000000
april	679000000.000000
ar	171000000.000000
arab	239000000.000000
arabic	181000000.000000
archine	568000000.000000
architecture	131000000.000000
archive	540000000.000000
archives	313000000.000000
are	1245032704.000000
area	1200000000.000000
areas	392000000.000000
argentina	168000000.000000
arm	156000000.000000
arms	137000000.000000
army	182000000.000000
around	864000000.000000
array	108000000.000000
art	1280000000.000000
article	332000000.000000
articles	521000000.000000
artist	311000000.000000
arts	481000000.000000
asia	312000000.000000
asking	104000000.000000
asp	2320000000.000000
ass	1110000000.000000
assessment	119000000.000000
assist	176000000.000000
assistance	221000000.000000
assistant	106000000.000000
associate	104000000.000000
association	563000000.000000
at	1805032704.000000
attack	221000000.000000
attention	286000000.000000
auction	126000000.000000
audience	115000000.000000
audio	679000000.000000
audiovisual	286000000.000000
august	550000000.000000
austera	179000000.000000
australia	398000000.000000
australian	175000000.000000
australis	412000000.000000
author	522000000.000000
authority	126000000.000000
auto	622000000.000000
auto-da-fe	166000000.000000
automatic	125000000.000000
availability	326000000.000000
avenue	196000000.000000
average	425000000.000000
avis	879000000.000000
award	270000000.000000
away	627000000.000000
b	1730000000.000000
b'Ab	370000000.000000
b'Av	216000000.000000
babe	506000000.000000
baby	615000000.000000
back	2110000000.000000
back-number	1160000000.000000
backdoor	118000000.000000
backdown	944000000.000000
background	243000000.000000
bad	631000000.000000
bag	211000000.000000
balance	188000000.000000
baldhead	127000000.000000
ball	316000000.000000
balldress	221000000.000000
balls	101000000.000000
balls-up	118000000.000000
ballup	271000000.000000
band	296000000.000000
bandsaw	233000000.000000
bang	284000000.000000
bank	384000000.000000
bankbook	405000000.000000
banking	117000000.000000
banner	178000000.000000
bar	478000000.000000
barbara	165000000.000000
bars	137000000.000000
base	403000000.000000
baseball	171000000.000000
basic	400000000.000000
basis	265000000.000000
basket	155000000.000000
basketball	141000000.000000
bass	111000000.000000
bath	193000000.000000
bathroom	109000000.000000
battery	111000000.000000
battle	190000000.000000
battlesight	118000000.000000
bay	316000000.000000
bbs	192000000.000000
beach	694000000.000000
beachball	385000000.000000
bear	289000000.000000
beat	173000000.000000
beauty	350000000.000000
bed	421000000.000000
bed-and-breakfast	227000000.000000
bed-ground	260000000.000000
bedcover	399000000.000000
bedframe	186000000.000000
bedroom	152000000.000000
beginning	254000000.000000
behind	344000000.000000
being	951000000.000000
believe	1390000000.000000
bell	173000000.000000
belle	159000000.000000
belt	106000000.000000
ben	1040000000.000000
benefit	196000000.000000
berlin	317000000.000000
best	3110000000.000000
bet	107000000.000000
beta	121000000.000000
beth	126000000.000000
better	824000000.000000
beyond	286000000.000000
bible	118000000.000000
bighead	668000000.000000
bike	117000000.000000
bikini	653000000.000000
bill	334000000.000000
bin	505000000.000000
biography	108000000.000000
bird	137000000.000000
birdcall	156000000.000000
birth	192000000.000000
birthday	286000000.000000
birthrate	212000000.000000
bisexual	137000000.000000
bit	369000000.000000
bitch	239000000.000000
biteplate	110000000.000000
biz	163000000.000000
black	2290000000.000000
blackjack	107000000.000000
blade	137000000.000000
blank	113000000.000000
blind	112000000.000000
block	234000000.000000
blond	138000000.000000
blonde	740000000.000000
blood	234000000.000000
blow	419000000.000000
blue	730000000.000000
blue-eyes	317000000.000000
blues	136000000.000000
bluetongue	113000000.000000
bo's'n	125000000.000000
board	912000000.000000
boards	232000000.000000
boat	162000000.000000
bob	455000000.000000
body	1580000000.000000
body-build	438000000.000000
bond	121000000.000000
bonemeal	112000000.000000
bonus	186000000.000000
boob	168000000.000000
book	1160000000.000000
bookclub	982000000.000000
bookdealer	151000000.000000
bookfair	233000000.000000
booking	161000000.000000
booklover	144000000.000000
bookmark	298000000.000000
bookmarker	295000000.000000
boot	157000000.000000
booty	138000000.000000
border	102000000.000000
boss	107000000.000000
bottle	125000000.000000
bottle-grass	132000000.000000
bottle-tree	127000000.000000
bottletree	128000000.000000
bottom	350000000.000000
bound	158000000.000000
box	891000000.000000
boy	809000000.000000
boys	444000000.000000
boys-and-girls	462000000.000000
bra	210000000.000000
brain	107000000.000000
brainpower	125000000.000000
branch	193000000.000000
brand	377000000.000000
brazil	222000000.000000
break	254000000.000000
break-in	250000000.000000
breakfast	201000000.000000
breakup	235000000.000000
breast	556000000.000000
brian	339000000.000000
bridge	159000000.000000
brief	160000000.000000
bright	126000000.000000
bringing	106000000.000000
british	350000000.000000
broad	114000000.000000
broker-dealer	100000000.000000
brother	197000000.000000
brother-in-law	185000000.000000
brown	301000000.000000
browse	394000000.000000
browser	448000000.000000
brunette	231000000.000000
buddy	119000000.000000
budget	213000000.000000
bug	123000000.000000
bug-hunter	126000000.000000
build	468000000.000000
building	489000000.000000
bulk	116000000.000000
bulletin	105000000.000000
bureau	119000000.000000
burning	135000000.000000
burnup	104000000.000000
bus	224000000.000000
bush	144000000.000000
bushbaby	144000000.000000
business	1710000000.000000
businessperson	558000000.000000
businesswoman	1110000000.000000
busyness	3080000000.000000
busywork	112000000.000000
butt	355000000.000000
button	263000000.000000
buttons	123000000.000000
buy	1400000000.000000
buyer	109000000.000000
buying	240000000.000000
by-and-by	3905032704.000000
by-blow	407000000.000000
by-catch	136000000.000000
by-line	1410000000.000000
by-product	1030000000.000000
byname	2170000000.000000
c	2650000000.000000
c-note	992000000.000000
cabinetmaking	112000000.000000
cable	219000000.000000
cafe	102000000.000000
calculator	128000000.000000
calendar	707000000.000000
calender	712000000.000000
californica	519000000.000000
call	1100000000.000000
call-back	1000000000.000000
call-board	837000000.000000
call-in	1010000000.000000
call-out	936000000.000000
caller-out	1030000000.000000
caller-up	427000000.000000
calling	145000000.000000
cam	749000000.000000
camera	394000000.000000
camp	166000000.000000
campaign	119000000.000000
camping	134000000.000000
campong	137000000.000000
campus	137000000.000000
can	3300000000.000000
canada	672000000.000000
canadian	278000000.000000
cancer	121000000.000000
candy	195000000.000000
candymaker	169000000.000000
canon	147000000.000000
cap	144000000.000000
capacity	138000000.000000
cape	117000000.000000
capital	218000000.000000
captain	139000000.000000
captainship	128000000.000000
car	913000000.000000
card	1560000000.000000
card-house	898000000.000000
cardhouse	898000000.000000
cards	750000000.000000
care	769000000.000000
career	319000000.000000
carmaker	164000000.000000
carolina	258000000.000000
carry	176000000.000000
cart	517000000.000000
carthorse	213000000.000000
cartoon	504000000.000000
casa	104000000.000000
case	670000000.000000
cash	366000000.000000
cashcard	356000000.000000
casino	231000000.000000
casino-hotel	228000000.000000
cast	162000000.000000
castle	114000000.000000
cat	475000000.000000
cat's-ear	132000000.000000
catalog	400000000.000000
catch	128000000.000000
category	712000000.000000
cause	1090000000.000000
cc	188000000.000000
cd	1020000000.000000
celebrity	374000000.000000
cell	245000000.000000
cellphone	245000000.000000
cental	542000000.000000
center	967000000.000000
central	492000000.000000
centre	1000000000.000000
century	255000000.000000
cerate	1600000000.000000
ceratin	378000000.000000
certificate	153000000.000000
ch'i	343000000.000000
chain	138000000.000000
chair	149000000.000000
challenge	191000000.000000
chanal	211000000.000000
chance	313000000.000000
change	1780000000.000000
change-up	1020000000.000000
channel	224000000.000000
chapter	168000000.000000
character	197000000.000000
characters	140000000.000000
charge	1210000000.000000
charles	203000000.000000
charlotte	101000000.000000
chart	167000000.000000
chat	1490000000.000000
cheap-jack	301000000.000000
cheat	321000000.000000
check	1380000000.000000
check-in	1360000000.000000
checkout	236000000.000000
cheep	439000000.000000
cheerleader	250000000.000000
chemical	128000000.000000
cherry	128000000.000000
chest	126000000.000000
chi	114000000.000000
chick	140000000.000000
chicken	104000000.000000
chickenfeed	116000000.000000
chickenshit	100000000.000000
chief	124000000.000000
child	393000000.000000
childbed	399000000.000000
children	1460000000.000000
chile	128000000.000000
china	339000000.000000
chinese	398000000.000000
chip	132000000.000000
choice	467000000.000000
chosen	139000000.000000
christ	110000000.000000
christmas	246000000.000000
church	240000000.000000
church-state	238000000.000000
cinema	136000000.000000
circle	113000000.000000
circumstances	137000000.000000
city	1880000000.000000
city-state	1060000000.000000
claim	140000000.000000
class	530000000.000000
classic	489000000.000000
classical	200000000.000000
classics	102000000.000000
clean	299000000.000000
cleaning	135000000.000000
clear	371000000.000000
click	2890000000.000000
client	300000000.000000
clip	648000000.000000
clip-on	622000000.000000
clock	181000000.000000
close	542000000.000000
clothes	182000000.000000
clothespress	176000000.000000
clothing	279000000.000000
club	1040000000.000000
club-head	705000000.000000
clubfoot	391000000.000000
clubroom	1130000000.000000
clubs	261000000.000000
cm	536000000.000000
co-ed	287000000.000000
co-op	279000000.000000
co-star	968000000.000000
coast	196000000.000000
coastguard	112000000.000000
cockhorse	248000000.000000
code	878000000.000000
coffee	182000000.000000
coffeehouse	185000000.000000
cold	226000000.000000
coldcream	236000000.000000
collection	642000000.000000
college	801000000.000000
color	554000000.000000
colorcast	182000000.000000
colored	174000000.000000
colors	186000000.000000
colour	565000000.000000
columbi	221000000.000000
com	2210065408.000000
combination	144000000.000000
come	1040000000.000000
come-on	968000000.000000
comedown	136000000.000000
comedy	125000000.000000
comfort	205000000.000000
comic	366000000.000000
